Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Case Manager,10+ years,,,,31.0,58095189
Procurement Specialist,1 year,,,,,46242724
Hillsides,1 year,,,,6.0,6976774
Autozone,< 1 year,  Borrower added on 10/02/10 > I am applying for a loan to  help dig me and my family out of a financial situation.<br/>,,,14.0,759398
General Manger,3 years,,,,68.0,37396498
Medical Coder,3 years,,,89.4,,72737186
Auto service rep,10+ years,,,,,61517354
Master Sergeant,10+ years,,,,,40946408
cashier,8 years,,,,,45250564
Registered nurse,10+ years,,,,,42456126
Lead Driver,6 years,,,,,67198850
SQA Manager,10+ years,,,,42.0,16611094
NRG Energy,2 years,  Borrower added on 09/10/13 > Consolidation of some debt<br>,,,,8715791
Teacher,2 years,,,,6.0,61565836
Senior Client Processing Assoc. ,7 years,,,,64.0,67598728
Word Processor,2 years,,,,,15179322
Sales,7 years,,,,,10321976
Regional Bank President,3 years,,,,,55256548
Central Methodist University,7 years,,,,,7862640
assisten mechanic,10+ years,,,,,34050514
Manager,5 years,,,,79.0,69666875
new hanover regional medical center,10+ years,  Borrower added on 07/04/13 > I would like to pay off my credit card debt and one installment loan. I pay WELL ABOVE the minimum payments each month and I ALWAYS pay on time. The $486 payment for the above-referenced loan term is substantially less than what I currently pay considering that I never pay just the minimum due.<br>,,,,7639133
Executive Relations Manager,10+ years,,,,24.0,23673365
PHOTO MANAGER,10+ years,  Borrower added on 01/09/14 > Had to use vacation money on new septic.<br>,,,,12357017
General Manager,10+ years,,,,,64865629
First Republic Mortgage Corp,4 years,  Borrower added on 04/30/13 > To consolidate credit cards &amp; close those accounts remaining funds will be used towards home improvements. <br>Thank you~<br>,,,,6068614
,,,,,14.0,41379522
Commercial Claims ,1 year,,,72.2,49.0,72048960
General manager,9 years,,,,10.0,16550616
Lafarge NorthAmerica Inc.,4 years,,,,12.0,935022
REGISTERED NURSE,3 years,,,,,43795828
Teacher,2 years,  Borrower added on 03/02/14 > My loan is a debt consolidation loan. I chose to apply for the loan so that I could simplify the pay off process. It is much easier to pay one consolidated account.<br>,,,60.0,14469771
Amazon,1 year,  Borrower added on 10/21/12 > Credit card refinancing this will free up funds for me<br>,,,48.0,1900133
SMHC,2 years,,,,,1555523
material lead,10+ years,,,,,65477531
President,10+ years,,,,,69565859
Firefighter,10+ years,,,,,31566424
,,,,,45.0,59105704
Document Analyst,10+ years,,,,159.0,14500939
Sales,3 years,,,,,66442085
Front Office,4 years,,,,,69869521
commercial painter,9 years,,,,72.0,41223294
FIRST STUDENT,10+ years,  Borrower added on 01/19/13 > This loan will pay off all lines of credit except for car and house mortgage.<br><br> Borrower added on 01/20/13 > My goal is too only have only one major bill at the end of the three years. My mortgage. I pay my bills so please help me with my goal.<br>,,,,3928700
machine operator,8 years,,,,42.0,59561593
Associate Research Scientist,10+ years,,,,,32848693
Manager,< 1 year,,,,8.0,38691186
"Supervisory, Immigration Svcs Analyst",10+ years,,,,,55387616
Security Officer,10+ years,,,,25.0,20668855
Field Service Technician,8 years,,,,25.0,11666978
General Manager,7 years,,,,12.0,49413525
R&D Staff,5 years,,,,,31226795
Rental Agent ,4 years,,,,9.0,21979384
TECHNICAL SUPPORRT GROUP MANAGER,5 years,,,,75.0,46416848
Director,1 year,,,,41.0,70925643
Developement Director,10+ years,,,,74.0,62463425
ArtsFund,2 years,  Borrower added on 07/13/11 > I was introduced to the LendingClub through ebay. I will be purchasing a local used car. The car has been inspected by my mechanic and comes with a complete history of the vehicle.<br/>,,,51.0,1019162
Route Sales,8 years,,,,,46617113
Bilingual Education Teacher,3 years,,,,,30105416
Journeyman,10+ years,,,,11.0,19846680
Science Teacher,10+ years,,,,,66154914
REGISTERED NURSE,8 years,,,,5.0,22691745
,6 years,,,,,11846754
Security/maintenance,2 years,,,,55.0,14808891
supervisor,8 years,,,,,41309849
Computer Information and Planning,8 years,  Borrower added on 08/22/12 > To payoff high interest rates credit cards<br>,,,,1754503
Air Force`,4 years,  Borrower added on 09/26/12 > For traveling expenses to visit my ill Grandfather in Ohio<br>,,,8.0,1834667
Dellmar construction,5 years,,,,60.0,1269372
Orbital Science ,2 years,  Borrower added on 06/11/12 > Pay-off all credit card.<br>,,,21.0,1599559
Zebra environmental corp.,5 years,,,,,9042418
Professor,10+ years,,,,,70246885
CVPH Medical Center,10+ years,  Borrower added on 07/01/13 > Pool installation<br>,,,,7646820
Personal Banker,< 1 year,,,,,40494632
Supervisor,7 years,,,,,37055730
Cobra Electronics,7 years,,,,25.0,2727679
Home Health Aide,4 years,,,,,23564177
Store Manager,10+ years,,,,47.0,47003949
Director,8 years,,,,34.0,9177329
"Habersham Funding, LLC",5 years,,,,25.0,2416814
Manager,10+ years,,,,6.0,11467000
Delivery Driver,1 year,,,,33.0,31227125
Manager ,1 year,,,,,65522652
Administrative ,7 years,,,,,70386409
Providence alaska medical center,5 years,,,,,8997419
MacNeal Hospital,1 year,  Borrower added on 05/22/12 > Major purchase<br>,,,,1489919
Lockheed Martin,2 years,,,,16.0,5407981
EVS- Housekeeping,6 years,,,,21.0,14117084
Imaging Engineer,7 years,,,,60.0,28812041
Regional Business Manager,1 year,,,,67.0,64271961
,,,,,,69232440
Sales Executive,4 years,,,,10.0,43427728
Teacher,10+ years,,,,,23843615
"Levin & Glasser, P.C.",10+ years,"  Borrower added on 09/06/11 > I plan to use the fund to pay off all credit card debt.<br/>I am a good borrower as I pay back on time.<br/>My monthly budget is a good one but it varies.<br/>My job is very stable, I have been working with the same person for many years<br/>",,,53.0,1087435
Senior Project Manager,7 years,,,,42.0,45431048
Supervisor,4 years,,,,67.0,58680297
Apprentice electrician,9 years,,,,41.0,60194791
Resident Physician,< 1 year,,,,43.0,11057574
Phoenix Children's Hospital,10+ years,  Borrower added on 03/21/12 > personal trip<br>,,,13.0,1444884
Officer,10+ years,,,,16.0,69282375
Medical Assistant,4 years,,,,,67537969
reciever,8 years,,,,,67600667
,,,,,29.0,58678944
Teacher,8 years,,,,,67758714
assistant executive pastry chef,2 years,,,,,31187992
Asst Director Of Acctg,10+ years,,,,37.0,59509197
Driver,10+ years,,,,8.0,17332407
The Home Depot,1 year,,,,,8499576
Zone Operations Manager,8 years,,,,,17562786
Accountant,3 years,,,,,59730699
Journeyman,1 year,,,,,60828556
Children's Colorado hospital,4 years,  Borrower added on 07/19/13 > Getting out of credit card debt<br>,,,15.0,8017153
Saugus Union School District,10+ years,,,,21.0,4721686
Account Executive,2 years,,,,3.0,62240001
sales consultant,1 year,,,,,23302876
driver,6 years,,,,6.0,59663816
,,,,,13.0,21258869
Medical Case Manager,2 years,,,,44.0,23472770
Financial Representative,< 1 year,,,,,60707073
philosophy,4 years,  Borrower added on 01/20/12 > To consolidate bills into one payment and reduce credit cards.<br>,,,,1350986
Senior Accountant,4 years,,,,10.0,15088595
Account Executive,< 1 year,,,,4.0,23604326
New Pittsburgh Courier Publishing Co.,10+ years,  Borrower added on 06/27/13 > I would like the loan to pay off my high interest credit cards. I had to apply for cash advances to try to help out family members and now I need to get this high interest rates off my cards so I can comfortably pay my bills without the stress.<br>,,,,7440920
HR Director,2 years,,,,70.0,24766135
,,,,,67.0,64835975
Classroom aide,1 year,,,,,70268794
AUDIT aNALYST,10+ years,,,,,59440046
Machine Operator,8 years,,,,,54505367
Interstate Batteries,10+ years,,,,7.0,8440461
ECPI University,9 years,  Borrower added on 08/30/13 > This loan is requested to pay of 5 credit cards that I've had for years and carry a relativley high rate and I want to reduce my debt and just have my mortgage to pay each month.<br>,,,,8496796
Accounts Payable,10+ years,,,,15.0,18885013
hvac tech,4 years,,,,,50287286
Canon City Shopper,< 1 year,  Borrower added on 05/15/13 > paying off bills<br>,,,81.0,6478579
store manager,< 1 year,,,,12.0,63306581
Transair,2 years,  Borrower added on 03/30/13 > To pay of debt<br>,,,,5227523
Frost &  Sullivan ,10+ years,"  Borrower added on 07/26/13 > Getting back on track after financial trauma that added credit card debt. Despite this kept perfect payment history on more than min payments but high balances on high interest cards tough to get ahead of it, impacted my credit score. Want to bring score back up also so I can refi the house.<br>",,,54.0,8081206
truly nolan,10+ years,,,,,4036767
Acct. Manager,10+ years,,,,,65532134
old dominion freight lines,8 years,  Borrower added on 06/23/13 > The will be to consolidate my credit cards &amp; to have the money to see my son graduate out bootcamp for the Marine Corps.<br>,,,20.0,7417457
Teacher,1 year,,,,,22341933
Supervisor,3 years,,,,,27710496
,,  Borrower added on 08/13/13 > I hope to group all my payments into one to lower interest and to facilitate better cash flow.<br>,,,26.0,8302102
Controls System Tech,10+ years,,,,3.0,69535964
Federal Compliance Secretary,9 years,,,,,35102937
Director of Special Projects,6 years,,,,51.0,34892183
Attorney,1 year,,,,31.0,49860144
Vault Teller,< 1 year,,,,22.0,39172641
Chevron,6 years,  Borrower added on 03/10/13 > Pay off credit cards<br>,,,43.0,4669280
Executive Director,7 years,,,,,70791769
Operations Manager,10+ years,,,,28.0,38841426
operator,10+ years,,,,13.0,40751300
supervisor,8 years,,,,12.0,21077930
Director of Design Devl,7 years,,,,,54025630
Service Manager,10+ years,,,,56.0,70410667
,,,,,28.0,53363227
dental hygientist,10+ years,,,,,59429143
Town of Colorado City,10+ years,  Borrower added on 08/26/12 > credit card consolidation<br><br>  Borrower added on 08/28/12 > The low interest rate alone will make most of this loan payments<br>,,,,1764745
Accounting,3 years,,,,,49272306
VP Government Services,10+ years,,,,,70276849
Colorado Springs Team Real Estate,1 year,  Borrower added on 02/25/10 > It's time to simplify!  Saying goodbye to multiple loans so that I can pay them off faster.<br/>,,,,624087
Trummer Dental Tech,8 years,  Borrower added on 09/12/13 > Payoff higher interest loan with One Main Financial<br>,,,,8898574
long term sub/teacher,10+ years,,,,37.0,55318430
teacher,5 years,,,,,26238898
,,,,,5.0,69842914
consultant,6 years,,,,27.0,46051482
reservations manager,10+ years,,,,,52375996
,,,,,68.0,36165007
driver,< 1 year,,,4.5,,73385615
Assembly Operator,6 years,,,,,37016040
Dental Hygienist,4 years,,,,38.0,10347760
Manufacturing Engineer/CNC supervisor,2 years,,,,10.0,41165867
Lmt,10+ years,,,,12.0,33149114
Administrator,10+ years,,,,,12034461
Supervisor,10+ years,,,,56.0,10761412
florist,10+ years,,,,,60214255
,,,,,,23011902
cook,10+ years,,,,20.0,63119991
Driver ,10+ years,,,,,47377232
Asst Director Business Analysis,10+ years,,,,27.0,49921725
Phone Tech,2 years,,,,,70689173
City of Alexandria,7 years,,,,,4233309
Business Services Administrator,10+ years,,,,,54585689
FINANCIAL MANAGER,10+ years,,,,,46942692
"Assistant Director, Materials management",1 year,,,,,48482826
Senior I T Manager,7 years,,,,14.0,67788462
Senior Technician,< 1 year,,,,8.0,43946628
sales associate,10+ years,,,,,11980174
Staff Accountant,3 years,,,,,65449302
Ambius,10+ years,  Borrower added on 06/29/13 > Bill consolidation<br><br>  Borrower added on 07/01/13 > My loan is to consolidate my bills.<br>,,,25.0,7430053
Registered Nurse,8 years,,,,65.0,68810365
JPMorgan Chase,10+ years,"  Borrower added on 10/26/10 > I am reliably employed at the same company in a management position for almost 14 years. I am responsible, trustworthy and reliable. My goal is to decrease my financial debt in order to increase the quality of life for myself and my young son. If I receive this loan, my plan will be actionable and we can be free! Thank you for your consideration.<br/>",,,55.0,776011
plant manager,7 years,,,,68.0,24755755
V.P. of Mass Market Sales,10+ years,,,,21.0,66544022
ER3,10+ years,,,,52.0,33760256
Human Resources Director,10+ years,,,,56.0,57926021
maintenence coordinator,10+ years,,,,23.0,42375577
Conoco,8 years,,,,,8730436
atrion networking,10+ years,  Borrower added on 09/27/12 > atx 200x on ebay<br>,,,,1841494
Personal Banker,3 years,,,,70.0,11317086
Order Coordinator/Team Leader,3 years,,,,,20086745
Senior Project Manager,9 years,,,,,40995178
First Data Corporation,6 years,,,,41.0,4379798
BP America Production Company,10+ years,"My daughter has been accepted to the Southern Medical Corporation School of Sonography in Baton Rouge Louisiana.  This is a private college with tuition costing  $13,000.00  Class room computers are also needed for note taking--  My husband and i are both employed with a nice income, however  $13,000 in one lump sum is a little difficult.  We would greatly appreciate help with this college tuition.  We plan on providing the expenses for living.  Sincerely, Allen Turnage ",,,,465472
,,,,,,62513248
Assistant supervisor ,8 years,,,,,22692198
Operational Risk Manager,10+ years,,,,,64647459
Sale,9 years,,,,31.0,58701509
Automatic Data Processing,10+ years,,,,,7441070
1st pressman,10+ years,  Borrower added on 11/18/13 > pay off all of my credit cards and loans to turn them into one monthly payment.<br>,,,56.0,10760615
General Manager,10+ years,,,,,55457575
Property Manager,7 years,,,,67.0,53325028
Brand Marketing Manager,2 years,,,,,69374558
beeler paving & earthwork,10+ years,"  Borrower added on 04/15/12 > the purpose of this loan is to pay some bills  , i been working in construction for the last  40 years  ,  but he raining season has put me behind  as soon as the rains stop  which is unusual this time of year  work will get into full  swing<br>",,,39.0,1489538
First Transit,2 years,  Borrower added on 11/11/12 > to pay off high inerest credit cards<br>,,,10.0,2386901
,,,,,,672174
Property Management Technician,4 years,,,,,44315998
home services lending affiliate of Wells,6 years,,,,,7667864
Teacher,5 years,,,,,61974440
Software Engineer,1 year,,,,69.0,15210488
Correctional deputy,8 years,,,,,49613862
Branch Operations Manager,9 years,,,,29.0,10409048
Table Games Dealer,< 1 year,,,,,63149345
VP of Business Development,< 1 year,,,,48.0,10147496
Sales,1 year,,,,64.0,45871150
State of Alabama,6 years,  Borrower added on 02/14/13 > My loan is to consolidate my credit cards and get out of debt.  I have learned my lesson.<br><br>  Borrower added on 02/14/13 > I have a stable job and this loan will allow me to more quickly payoff my credit cards.  Thanks for your help.<br>,,,,4235585
Surface worker/coal mine,3 years,,,,,42223549
Operations Executive,5 years,,,,,31097648
,10+ years,,,,69.0,2227267
owner,5 years,,,,13.0,36064685
LPN,10+ years,,,,52.0,70357444
Sunoco Logistics,3 years,  Borrower added on 06/10/13 > Full time worker and going to school part time. Support a family of 5 and only one that works. Debit is building up from school. This will help me out by consolidating my credit in one.<br>,,,,7190571
Employers Claim Management,1 year,,,,,859610
Jewish Hospital,1 year,,,,40.0,7689685
NIHFCU,6 years,,,,,1294683
Thomas Jefferson University Hospital,3 years,  Borrower added on 09/12/12 > Credit card debt consolidation. <br>I want to have zero debt (except for my mortgage) in 3 years.<br><br>  Borrower added on 09/14/12 > I would like to pay off all of my credit card debt and be totally debt free (aside from my mortgage) in three years. Thank you for your time.<br>,,,,1803657
HVAC Tech,2 years,,,,,47853944
dock foreman,6 years,,,,56.0,13610640
Manager,3 years,,,,35.0,22330643
HEAD STAFF ASSISTANT 28,9 years,,,,57.0,42366065
Room Leader,4 years,,,,,51006030
"Kiewit Offshore Services, Ltd.",6 years,,,,69.0,2426697
Sr. Human Resource Manager,1 year,,,,6.0,59700465
Financial analyst,10+ years,,,,,14950044
Account Manager,3 years,,,,15.0,47487516
RN,10+ years,,,,13.0,65023219
dealer,3 years,,,,,43865501
"Transaction Trader, Real Time",10+ years,,,,,17682809
kitchen worker,5 years,,,,,43445751
PROGRESSIVE INSURANCE CO,10+ years,  Borrower added on 03/30/13 > CREDIT CARD PAYOFFS<br><br>  Borrower added on 04/02/13 > credit card refinancing<br>,,,,5217228
Sr. Manager Product Integrity,10+ years,,,,13.0,15900327
labor,10+ years,  Borrower added on 12/14/13 > Thank you for the chance to receive this loan.Want to concolidate some bills to alower payment so I can pay off some other bills &amp; have some extra money to finish remolding my house.Thank you for the chance realy  hope this works out<br>,,,,11618637
Kaloko Dental LLC,2 years,,,,,7190556
Aviation Quality Group,2 years,  Borrower added on 06/13/12 > This will greatly help me to get ahead of my finacial debts. I shall pay off all credit card debt and school loans with this loan. By doing that my monthly bills paid out will greatly decrease by consolidating into this one payment to a month to the lending club. I will than greatly appreciate help.<br><br>  Borrower added on 06/14/12 > It won't take a genius to see that I am asking to borrow less than what I owe.  I plan to pay out all Credit Cards and most school loans.  I can continue to pay off my car and the rest of remaining school loan balances on my current wage rate and payment plans.  This will lessen my monthly bills.<br>,,,,1604450
Manager,4 years,,,,12.0,42553795
Biller,5 years,,,,,49224945
Network Analyst,7 years,,,,14.0,14627952
Custodial Engineer,10+ years,  Borrower added on 12/31/13 > consolidation of credit cards<br><br> Borrower added on 12/31/13 > Consolidation of credit cards<br>,,,,12001023
RN,4 years,  Borrower added on 02/24/14 > Have to many high interest credit cards looking to refinace to get out of debt.<br>,,,,14268775
laser technician,2 years,,,100.0,,73109903
Claim Representative,10+ years,,,,13.0,16681582
"Washington, DC Law Firm",2 years,"  Borrower added on 08/28/10 > Opportunity to retire private loan at substantial discount. Great credit and otherwise debt free (except student loans paid on time). Stable employment at recession-proof Intellectual Property law firm, as well as second job as an in-demand personal fitness instructor.<br/>",,,,736279
Project Managment Assistant,3 years,,,,69.0,62453825
truck driver,8 years,,,,,14909110
Associate Professor of Criminal Justice,9 years,,,,14.0,37306604
Mechanical Engineer,4 years,,,,,68481459
supervisor,3 years,,,,,41575998
Boards and Commissions Coordinator,10+ years,,,,,10789806
UPS,10+ years,,,,10.0,3866304
Lawn Care Technician,2 years,,,,,28770735
Corp Manager - Finanial Systems,10+ years,,,,,71328436
press operator ,10+ years,,,,,49586723
Registered Nurse,4 years,,,,,61514856
Driver,6 years,,,,,19876906
PROGRESSIVE INSURANCE,7 years,,,,,2737329
Treasury Sales Analyst,10+ years,,,,4.0,31307302
Geek Squad Dispatch Agent,7 years,,,,,65135477
Rural Mail Carrier,1 year,,,,43.0,59670013
Trinity Insdustires,< 1 year,"  Borrower added on 07/05/12 > I need the loan to pay off a debt. Thank you.<br><br>  Borrower added on 07/06/12 > This loan is to pay off High interest debt, making payments more affordable.  Thank you.<br>",,,65.0,1648063
department manager,10+ years,,,,,32879208
Teacher,8 years,,,,,62564307
Route Sales Rep,5 years,,,,,54036420
Pharmacy Tech,4 years,,,,,59146978
Truck driver,2 years,,,,,49302882
ASSISTANT MANAGER,10+ years,,,,,59469505
U.S. Air Force,7 years,,,,26.0,1727078
Senior Consultant,< 1 year,,,,,70460076
nurse,2 years,,,,82.0,43887087
Master Chief Electrician,10+ years,,,,,61954639
Principal Software Developer,5 years,,,,59.0,43328015
quality control analyst,5 years,,,,50.0,70791679
Relief driver,< 1 year,,,,,70620461
Rovings Attendant,10+ years,,,,14.0,69614116
State Farm insurance,10+ years,,,,,8409938
Regional Director,3 years,,,,,61954535
System Specialist,8 years,,,,,18293417
TSA,6 years,"  Borrower added on 12/21/12 > I would like to consolidate my debt and just make a single monthly payment with a fixed interest that can be paid in a short period time.  My ideal loan would be $35,000 so I can also use the extra money perhaps for a down payment on a new house or apartment.<br>",,,81.0,3256853
Sun State Builders,4 years,"I am requesting a personal loan in the amount of $25,000. I have credit card debt that I would like to eliminate, especially since the two that carry high balances just notified me that they will be raising the interest rate in July. I have never been even one day late on these two cards. Currently I pay about $600 a month on various credit accounts and I determined that through a debt consolidation loan at around 11% interest for 5 years, I could pay off this debt and still be able to save half of what I am paying monthly to credit cards.   I am a single woman with a good job and own a home in Arizona. The condition of the housing market in AZ is dismal and hence I cannot obtain a home equity loan to pay this debt off. I have been working for my current employer for 4 years and feel confident that my job is secure. 8 years ago I had to declare bankruptcy due to my husband's suicide. He left me with an enormous amount of debt. However, since his passing in 1999, I have purchased 2 homes.   I am hoping that you will grant me this personal loan. None of my credit accounts (including my home) have been paid late. I have just let this debt get out of control and need to eliminate it all together. Thank you.",,,67.0,465029
Grants Manager,10+ years,,,,,53722842
Department Manager,1 year,,,,,59639153
Crew member,3 years,,,,,46677960
Columbia University,6 years,  Borrower added on 01/05/12 > I want to buy an apartment to rent.<br>,,,51.0,1331667
Perinatal Associates,10+ years,,,,,2707046
FieldOps Specialist,7 years,,,,,24766848
Commercial Banking,8 years,,,,,59779791
Account Executive ,1 year,,,,,67019307
shipping team leader,10+ years,,,,32.0,12429089
SDMSI,7 years,  Borrower added on 09/04/13 > I have another loan with Lending Club and some credit card debt. I would like to pay both off with this new loan and consolidate. Thanks!<br>,,,,8730653
Helpdesk Analyst,8 years,,,,76.0,43336029
"Director, Digial Creative",7 years,,,,10.0,33880766
Program Assistant,10+ years,,,,,56207988
Marketing graphic designer,1 year,,,,,36997120
Flight Attendant,10+ years,,,,,14918404
GM,10+ years,,,,,33288925
police officer,10+ years,,,,,34351314
Business Banker,9 years,,,,30.0,19595797
los angeles county ,10+ years,  Borrower added on 05/30/11 > Need to pay off student loans and just trying to consolidate everything just one payment to make sure it will be paid eventually. I just really do need help. Ive always had grear credit..please help.<br/>,,,,965507
Technician III,7 years,,,,,59053548
Picking lead,4 years,,,,,59488870
Vasso Waste Systems,,"  Borrower added on 07/08/13 > debt consolidation, paying credit cards only<br>",,,,7691330
assembler,10+ years,,,,7.0,37167517
,,,,,36.0,36194919
Police Officer ,7 years,,,,44.0,14269532
Senior Analyst,1 year,,,,68.0,68860442
RCN,10+ years,"  Borrower added on 09/13/12 > I want this loan to pay off all my credit cards and discontinue using credit cards in the future,  I can easily afford the monthy payments because I pay more than that on each card.  I will then be debt free in 3 years.<br>",,,,1804036
Certified Medical Assistant,4 years,,,,65.0,73192446
Subcontract Administrator,< 1 year,,,,69.0,66391954
Project engineer,1 year,,,,44.0,49696143
NURSE,3 years,,,,10.0,70407136
Regional Director of Operations,10+ years,,,,,32267332
Interviewer II,5 years,,,,114.0,9389762
"Manager, Sales Operations",3 years,,,,17.0,57355282
Internal Wholesaler,10+ years,,,,16.0,63306285
Dental Sterilization Technican,10+ years,,,,80.0,24614705
Anaylst,< 1 year,,,,30.0,42832514
,,,,,,66403511
Fleet Manager,7 years,,,,,53433019
Driver ,4 years,,,,9.0,46962698
Network Engineer,6 years,,,,,18645681
Principal,10+ years,,,,4.0,70031448
,,,,,,70390466
Field Service Engineer,6 years,,,,,66156139
,,,,,42.0,40050553
Engineer,6 years,  Borrower added on 02/03/14 > Debt consolidation<br>,,,,13359859
Cieszynski Enterprises,3 years,  Borrower added on 11/18/12 > My loan is going to pay off credit card debt that I accrued during my years of education.  I would like to save money to help with my future.<br>,,,18.0,2435167
empire merchants,10+ years,,,,,772192
,10+ years," 564054 added on 10/27/09 > I plan to pay off my credit card debt and car loan since they have high interest rates. So this will be my only debt. I am a successful business owner of a strong, profitable, growing business in the area of green, ecological, organic children's products. I have been in this business for over 12 years and the business is debt-free. My monthly budget is around $7,500 so I will have no problem paying the monthly payments on this loan.   Thank you! 564054 added on 10/29/09 > Correction: I meant to say my budget is around $6000 and my income is around $7500. I appreciate this loan and am happy to answer any questions.",,,,564054
supply suport tech 2,10+ years,,,,,54746132
collections,8 years,,,,,19435272
Deputy Attorney General,10+ years,,,,67.0,33880366
Physician-Anesthesiologist,3 years,,,,6.0,64823835
maintenance tech,6 years,,,,24.0,67666928
Senior Field Engineer,10+ years,,,,34.0,33930553
,,,,,,54665118
Mechanical Design Engineer,6 years,,,,,68401897
Utilities ,< 1 year,,,,38.0,62014056
supervisor of grounds,10+ years,,,60.2,,72278181
Sr. Business Application Developer,10+ years,,,,6.0,31497253
Body and Paint tech,5 years,,,83.6,,72039264
Mental Health Therapist,2 years,,,44.5,26.0,72867191
Quality Technician,7 years,,,,78.0,68458896
clerk,10+ years,,,,,13127085
,,,,,,44206371
Manager,< 1 year,,,,51.0,9877322
nassifs pharmacy,10+ years,  Borrower added on 08/16/12 > I want to consolidate credit cards and close accounts and  decrease open revolving credit.Interest rates on a few cards is very high.I really want to get these paid off and have save money. Thank you very much for your assistance.<br>,,,55.0,1740240
owner,10+ years,,,,,43936191
Architect,10+ years,,,,,43217596
Systems Software Specialist,10+ years,,,,37.0,61496687
ESPN - Sport Planner,< 1 year,,,,,45400921
dietry ,7 years,,,,,62423218
Medical Billing,9 years,,,,10.0,61535937
Registered Nurse ,10+ years,,,,19.0,64311975
lead generator,3 years,,,,,49705572
"Sr, Loan Processor",2 years,,,,63.0,23583294
Planner 2,5 years,,,,60.0,43889229
Plumber,1 year,,,,49.0,37817650
Wellhead Service Technician,2 years,,,,,49972666
msu ,10+ years,,,,,7022440
CST,10+ years,,,,,35113051
Police detective,10+ years,,,,,64667880
Pwc,2 years,,,,,4379067
,,,,,74.0,46323325
"VS Maritime, Inc.",9 years,,,,,3627992
correction officer,10+ years,,,,2.0,56902337
Medical City Dallas Hospital,3 years,"  Borrower added on 05/13/13 > I am consolidating my credits on my credit cards, BOA, discover, and Macys credit cards.<br>",,,20.0,6497344
Maintenance Tech ,10+ years,,,,72.0,43143129
Clinical Research Associate,7 years,,,,,45680021
Piedmont Airlines,4 years,  Borrower added on 06/22/12 > I'm trying really hard to pay off my debt. I just need help.<br>,,,,1625281
substitute teacher,< 1 year,,,,72.0,45381417
Corrections Sergeant,9 years,,,,,53642798
Sr msr,7 years,,,,,55358846
NYSDOT,10+ years,,,,15.0,5427445
,,,,84.6,,73336411
Eligibility Specialist,4 years,,,,,41321521
Airborne Ministries,4 years,I am purchasing an rv for housing and work related purposes.,,,0.0,156526
Driver,3 years,,,,,34140886
The Calhoun School,6 years,  Borrower added on 07/01/13 > Trying to get credit card debt under control<br>,,,,7636811
Employer Installation Specialist,4 years,,,,41.0,49514250
,,,,,,49423743
Deputy,10+ years,,,,68.0,43376145
Registered Nurse,< 1 year,,,,80.0,32147731
Plant Operator,10+ years,,,,20.0,12011099
Massachusetts Institute of Technology,1 year,  Borrower added on 08/07/13 > home down payment loan.<br>,,,31.0,8297110
Insurance Claims Analyst,10+ years,,,,,46766657
Arlington ISD,10+ years,,,,,3408764
Collections specialist,10+ years,,,,74.0,30075000
Support Professional,< 1 year,,,,,45291781
secretary/customer service,10+ years,,,,,71139018
,,,,,,8187545
Regional Scientific Manager,2 years,,,,,42282895
dump operator/mechanic,8 years,,,,,69871774
Sportscaster,10+ years,,,,66.0,24796725
rural carrier assoc,10+ years,,,,4.0,66302991
Machinst,5 years,,,,,43986928
Engineer,10+ years,,,,5.0,56933425
Station Cleaner,10+ years,,,,80.0,15460017
"Tetra Tech, Inc.",1 year,,,,,7208694
Journeyman Plumber,10+ years,  Borrower added on 10/13/13 > Credit Card Consolidation<br><br> Borrower added on 10/13/13 > Credit card consolidation<br>,,,,9668414
CEO,5 years,,,,,21258253
Warehouse supervisor,7 years,,,,,37898001
Continental Airlines,10+ years,,,,,776044
machine operator ,3 years,,,,9.0,69891147
"Abrazo Health Care, Phoenix Baptist Hosp",< 1 year,  Borrower added on 12/26/12 > I pay monthly on all of my credit cards yet they never seem to go away! I want to use this loan to pay off those cards for good and get my life back!<br>,,,,3418788
Director of Product,< 1 year,,,,,14958951
Sales,7 years,,,,14.0,58852877
sr super4,5 years,,,,,49882205
Test writing,4 years,,,,43.0,13680035
massachusetts medical society,10+ years,,,,36.0,918260
Customer Support,< 1 year,,,,,41349408
customer service,8 years,,,,38.0,43277532
VP,10+ years,,,,49.0,61068272
Smith Fire Management,10+ years,,,,,8729987
Merrell Apparel,10+ years,  Borrower added on 10/19/10 > credit card refinance<br/> Borrower added on 10/22/10 > I am going to consolidate credit card debt that occurred from large medical bills that my insurance did not pay.  I have not carried debt of this proportion previous to the family illness and plan on paying it off quickly.  I would like to have it all in one place!<br/>,,,,770964
Accounts Receivable Representative,1 year,,,,,68359653
Associate Manager,2 years,,,,,49526237
Assistant Bakery Manager,< 1 year,,,,39.0,51795370
Practice Leader,7 years,,,,,43366481
,,,,,42.0,71825904
Business Analyst,3 years,,,,,27218947
Regional Sales Manager,10+ years,,,,,27779804
Lab manager,10+ years,  Borrower added on 12/02/13 > I am applying for this loan to reduce my amounts due by combining all into one amount due with a lower interest rate<br>,,,39.0,10859921
owner,10+ years,,,,41.0,44457272
GL Noble Denton,5 years,,,,,8339054
PARTS MANAGER,5 years,,,,,23302983
Senior Solution Architect,7 years,,,,,64333088
Account Executive,2 years,,,,25.0,48712075
Administrative Assistant,< 1 year,,,,,59186357
